,Dataset,Model,DataType,Number of Client,Number of Epoch,Algorithm Execution Time,Accuracy
FL_non_IID_Heuristic_MNIST(MLP),MNIST,MLP,non-IID -> IID,100,10,0.03125,91.86
FL_non_IID_Heuristic_MNIST(CNN),MNIST,CNN,non-IID -> IID,100,10,0.015625,96.36
FL_non_IID_Heuristic_cifar10(CNN),CIFAR10,CNN,non-IID -> IID,100,10,0.03125,39.59
FL_non_IID_ILP_MNIST(MLP),MNIST,MLP,non-IID -> IID,100,10,7.334005832672119,92.49
FL_non_IID_ILP_MNIST(CNN),MNIST,CNN,non-IID -> IID,100,10,6.329627275466919,95.54
FL_non_IID_ILP_cifar10(CNN),CIFAR10,CNN,non-IID -> IID,100,10,7.3336358070373535,40.65
FL_IID_MNIST(MLP),MNIST,MLP,IID,100,10,,95.16
FL_IID_MNIST(MLP),MNIST,MLP,IID,100,10,,95.13
FL_IID_MNIST(MLP),MNIST,MLP,IID,100,2,,87.09
FL_IID_MNIST(MLP),MNIST,MLP,IID,100,4,,91.06
FL_IID_MNIST(MLP),MNIST,MLP,IID,100,4,,90.56
FL_IID_MNIST(MLP),MNIST,MLP,IID,100,4,,82.11
FL_IID_MNIST(MLP),MNIST,MLP,IID,100,4,,90.52
FL_IID_MNIST(MLP),MNIST,MLP,IID,100,4,,90.74
FL_IID_MNIST(MLP),MNIST,MLP,IID,100,4,,91.06
FL_IID_MNIST(MLP),MNIST,MLP,IID,100,4,,90.15
SingleMachine_MNIST(MLP),MNIST,MLP,,,5,,96.2
SingleMachine_MNIST(MLP),MNIST,MLP,,,5,,96.2
SingleMachine_MNIST(CNN),MNIST,CNN,,,5,,98.64
SingleMachine_CIFAR10(CNN),CIFAR10,CNN,,,5,,45.27
